"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.qualcomm.qti.autoregistration","2","1h41m2s366ms","6062366","99%","6062303","3031183","1","55147","55147","0","0",""
"com.android.email","1","4m27s631ms","267631","4%","267631","267631","0","0","","0","0",""
"com.android.printspooler","1","7m53s457ms","473457","7%","473457","473457","0","0","","0","0",""
"com.miui.hybrid","5","1h14m56s592ms","4496592","73%","3260752","899318","4","26188","385135","0","0",""
"com.qualcomm.qti.modemtestmode","2","1h41m32s308ms","6092308","99%","6062251","3046154","1","25205","25205","0","0",""
"com.jeejen.family.miui:monitor","1","1h41m2s306ms","6062306","99%","6062306","6062306","0","0","","0","0",""
"com.xiaomi.bluetooth","2","1h41m56s495ms","6116495","99%","6056425","3058247","1","1018","1018","0","0",""
"com.android.defcontainer","5","1h8m38s315ms","4118315","67%","2367032","823663","4","32332","487667","0","0",""
"com.qualcomm.display","2","1h41m22s355ms","6082355","99%","6062295","3041177","1","35158","35158","0","0",""
"com.xiaomi.market","4","1h41m55s841ms","6115841","99%","4054977","1528960","3","303","557","0","0",""
"com.xiaomi.vipaccount","4","1h41m55s139ms","6115139","99%","4054662","1528784","3","294","791","0","0",""
"com.android.statementservice","1","1h41m2s314ms","6062314","99%","6062314","6062314","0","0","","0","0",""
"com.tbstbs.xiacai","1","11m22s276ms","682276","11%","682276","682276","0","0","","0","0",""
"com.miui.home","1","2m47s486ms","167486","2%","167486","167486","0","0","","0","0",""
"com.xiaomi.account:pushservice","1","1h40m56s516ms","6056516","99%","6056516","6056516","0","0","","0","0",""
"com.miui.cloudservice:pushservice","2","1h41m46s577ms","6106577","99%","6056507","3053288","1","10936","10936","0","0",""
"com.xiaomi.gamecenter","4","1h41m42s994ms","6102994","99%","4048969","1525748","3","2070","4839","0","0",""
"com.miui.sysbase","1","45s927ms","45927","0%","45927","45927","0","0","","0","0",""
"com.miui.securitycore.remote","4","21m51s893ms","1311893","21%","790455","327973","3","475271","1585523","0","0",""
"com.tbstbs.xiacai:pushcore","1","11m21s461ms","681461","11%","681461","681461","0","0","","0","0",""
"com.tbstbs.xiacai:QALSERVICE","1","12m2s770ms","722770","11%","722770","722770","0","0","","0","0",""
"com.miui.guardprovider","3","1m33s31ms","93031","1%","37195","31010","2","588125","2302792","0","0",""
"com.eoffcn.mobile","1","1h40m54s941ms","6054941","98%","6054941","6054941","0","0","","0","0",""
"com.xiaomi.vipaccount:log","4","1h41m51s532ms","6111532","99%","4053831","1527883","3","1684","1993","0","0",""
"com.android.externalstorage","4","1h36m16s61ms","5776061","94%","3910131","1444015","3","56672","92342","0","0",""
"com.miui.securitycenter","3","3m49s440ms","229440","3%","157223","76480","2","584971","2241146","0","0",""
"com.android.settings:remote","1","28m34s821ms","1714821","28%","1714821","1714821","0","0","","0","0",""
"android.process.acore","4","1h33m14s965ms","5594965","91%","3813429","1398741","3","85610","158912","0","0",""
"android.process.mediaUI","4","1h40m3s863ms","6003863","98%","4035004","1500965","3","7144","37883","0","0",""
"com.xiaomi.providers.appindex","4","1h41m28s763ms","6088763","99%","4049115","1522190","3","1974","9583","0","0",""
"com.android.keychain","5","1h40m43s235ms","6043235","98%","4041218","1208647","4","3063","18569","0","0",""
"com.yuyoogame.ameng.puzzle3.sub1:channel","1","1h19m40s934ms","4780934","78%","4780934","4780934","0","0","","0","0",""
"com.android.mms","1","49s396ms","49396","0%","49396","49396","0","0","","0","0",""
"com.miui.vsimcore","4","1h41m29s184ms","6089184","99%","4043128","1522296","3","607","9443","0","0",""
"com.android.shell","4","1h36m29s200ms","5789200","94%","3919935","1447300","3","46872","87922","0","0",""
"com.jeejen.family.miui:pushcenter","1","1h40m56s478ms","6056478","99%","6056478","6056478","0","0","","0","0",""
"com.jeejen.family.miui:msgcenter","1","1h41m2s258ms","6062258","99%","6062258","6062258","0","0","","0","0",""
"com.android.documentsui","4","1h36m12s86ms","5772086","94%","3906574","1443021","3","60204","93706","0","0",""
"com.xiaomi.simactivate.service","1","49s642ms","49642","0%","49642","49642","0","0","","0","0",""
"org.simalliance.openmobileapi.service:remote","2","1h41m42s261ms","6102261","99%","6062224","3051130","1","15252","15252","0","0",""
"com.android.soundrecorder:remote","1","1m49s251ms","109251","1%","109251","109251","0","0","","0","0",""
"com.mm.lobster.mortgage","1","51s541ms","51541","0%","51541","51541","0","0","","0","0",""
"com.svox.pico","4","5m53s313ms","353313","5%","151532","88328","3","556183","1904997","0","0",""
"com.miui.gallery","1","1m46s614ms","106614","1%","106614","106614","0","0","","0","0",""
"com.yuyoogame.ameng.puzzle3.sub1","1","1h19m41s937ms","4781937","78%","4781937","4781937","0","0","","0","0",""
"com.android.soundrecorder","1","1m47s88ms","107088","1%","107088","107088","0","0","","0","0",""
