"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)"
"com.yuyoogame.ameng.puzzle3.sub1","com.taobao.accs.ChannelService","0","0ms","0","0%","0",""
"com.jeejen.family.miui","com.jeejen.push.DaemonService","0","0ms","0","0%","0",""
"com.android.statementservice",".DirectStatementService","0","0ms","0","0%","0",""
"com.xiaomi.vipaccount","com.xiaomi.vipbase.service.MvLogService","0","0ms","0","0%","0",""
"com.miui.cloudservice","com.xiaomi.push.service.XMPushService","0","0ms","0","0%","0",""
"com.qualcomm.cabl",".CABLService","0","0ms","0","0%","0",""
"com.jeejen.family.miui","com.jeejen.home.launcher.services.LauncherService","0","0ms","0","0%","0",""
"com.qualcomm.svi",".SVIService","0","0ms","0","0%","0",""
"com.tbstbs.xiacai","com.tencent.qalsdk.service.QalService","0","0ms","0","0%","0",""
"com.xiaomi.bluetooth","com.android.bluetooth.ble.app.MiuiBleAppService","0","0ms","0","0%","0",""
"org.simalliance.openmobileapi.service",".SmartcardService","0","0ms","0","0%","0",""
"com.qualcomm.qti.autoregistration",".RegistrationService","0","0ms","0","0%","0",""
"com.tbstbs.xiacai","cn.jpush.android.service.PushService","0","0ms","0","0%","0",""
"com.qualcomm.qti.modemtestmode",".MbnSystemService","0","0ms","0","0%","0",""
"com.jeejen.family.miui","com.jeejen.message.center.DaemonService","0","0ms","0","0%","0",""
