"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Max time (ms)","Last change","Prevent Suspend Time"
"SensorService_wakelock","55262","55262","0","0","0","0","0","123405522","0"
"sensor_ind  ","71300","71300","0","0","0","0","0","123405521","0"
"SMD_TTY_APPS_RIVA_BT_ACL_RA","0","0","0","0","0","0","0","47775","0"
"APPS_RIVA_BT_ACL","0","0","0","0","0","0","0","47775","0"
"SMD_TTY_APPS_RIVA_BT_CMD_RA","3232","3232","0","0","0","0","0","131543016","0"
"APPS_RIVA_BT_CMD","361","3232","0","361","0","0","0","131543510","0"
"ipc000000db_sensors.qcom","3525493","3590945","0","0","0","0","0","132085353","0"
"ipc000000da_FLP Service Cal","1","1","0","0","0","0","0","28519","0"
"ipc000000d9_fdal-loc-api","3","5","0","0","0","0","0","27297","0"
"eventpoll   ","1","1","0","0","0","0","0","3627251","0"
"ipc000000d8_Thread-148","0","0","0","0","0","0","0","26572","0"
"ipc000000d7_Thread-148","0","0","0","0","0","0","0","26563","0"
"ipc000000d6_Thread-148","898","898","0","0","0","0","0","131949327","0"
"ipc000000d5_sensors.qcom","1","1","0","0","0","0","0","25827","0"
"ipc000000d4_FLP Service Cal","12016","13606","0","0","0","0","0","124621464","0"
"ipc000000d3_system_server","8","9","0","0","0","0","0","25791","0"
"ipc000000d2_system_server","0","0","0","0","0","0","0","25764","0"
"ipc000000d1_system_server","898","898","0","0","0","0","0","131949327","0"
"ipc000000d0_sensors.qcom","13427","13427","0","0","0","0","0","132078567","0"
"PowerManagerService.WakeLocks","17734","17734","0","0","0","29","1","132071401","0"
"ipc000000cf_wpa_supplicant","0","0","0","0","0","0","0","23503","0"
"ipc000000ce_wpa_supplicant","2","2","0","0","0","0","0","23503","0"
"ipc000000cd_wpa_supplicant","2","2","0","0","0","0","0","23504","0"
"ipc000000cc_wpa_supplicant","2","2","0","0","0","0","0","23495","0"
"ipc000000cb_wpa_supplicant","0","0","0","0","0","0","0","23207","0"
"ipc000000ca_wpa_supplicant","2","2","0","0","0","0","0","23207","0"
"ipc000000c9_wpa_supplicant","2","2","0","0","0","0","0","23209","0"
"ipc000000c8_wpa_supplicant","2","2","0","0","0","0","0","23200","0"
"ipc000000c7_wpa_supplicant","898","898","0","0","0","0","0","131949327","0"
"ipc000000c6_wpa_supplicant","0","0","0","0","0","0","0","23183","0"
"qcom_sap_wakelock","0","0","0","0","0","0","0","22859","0"
"qcom_rx_wakelock","33206","208941","0","33206","0","2","0","39260260","0"
"wlan        ","14867","14967","0","7383","0","11","0","130140500","0"
"ipc000000c5_qti","0","0","0","0","0","0","0","19537","0"
"ipc000000c4_qti","898","898","0","0","0","0","0","131949327","0"
"ipc000000c3_qti","0","0","0","0","0","0","0","19537","0"
"TrimTask    ","1","1","0","0","0","0","0","21307","0"
"event1      ","0","0","0","0","0","0","0","18830","0"
"event3      ","0","0","0","0","0","0","0","18825","0"
"event0      ","0","0","0","0","0","0","0","18807","0"
"event2      ","0","0","0","0","0","0","0","18802","0"
"event4      ","0","0","0","0","0","0","0","18798","0"
"event5      ","0","0","0","0","0","0","0","18798","0"
"eventpoll   ","0","0","0","0","0","0","0","18798","0"
